,meta,goog,amzn,nflx,aapl
410,7.555810684101557,2.339624082688797,3.441717147321756,12.600916572838575,2.7672573330376244
415,7.541921772964616,2.333945315346898,3.434452023435427,12.59040916978174,2.7679084060546875
420,7.520838337343003,2.3277183897015936,3.4246150561201665,12.564431763937986,2.766391939428489
425,7.494486808895426,2.3253507333597705,3.415167637113818,12.53885884757399,2.764776055714809
430,7.4683164627649345,2.323566297894428,3.4082720299862914,12.533499634844665,2.763344776700758
435,7.439419194872005,2.32211222821136,3.40114101368021,12.644426150006183,2.760306750894144
440,7.413644553725076,2.3211261669300765,3.3927784448567317,12.754239794169957,2.7570259122797602
445,7.394255776581739,2.321356142200733,3.3863865502416433,12.873118958443849,2.7571480223924247
450,7.379155410889032,2.316862408680179,3.382578410821889,12.998472452466597,2.7593377720798893
455,7.358818445785102,2.309143339255979,3.374180341393483,13.091997055813247,2.758611251839162
460,7.336401771143687,2.2994166747727505,3.36330806524605,13.0591079041592,2.7561219417815606
465,7.310695210926825,2.289300668807079,3.352991931358401,13.034588296541198,2.7537744590622175
470,7.283032969009314,2.2790765736647294,3.3414059936116294,13.004799127387788,2.7490163633754836
475,7.254378827090496,2.2688376032518307,3.3274725291230554,12.96585149743326,2.7426476130465787
480,7.225769771437382,2.2589443849329345,3.3138279557832293,12.925263650938783,2.735050923046973
485,7.206615774868178,2.2492360450244235,3.308124597141166,12.916954293260465,2.7272078891616736
490,7.213843993012608,2.243016680402984,3.3128157270482874,12.917835347040768,2.7246389817466734
495,7.228301193034367,2.238671317721165,3.320388184464967,12.9154745684253,2.723120629063073
500,7.246292762458748,2.2348105021205122,3.3288048173264935,12.933386766333081,2.7215721278905116
505,7.268440019549439,2.2317407662978654,3.3429687174109146,12.957676544675072,2.724868911479014
510,7.284848076078998,2.229327292236149,3.3540001143132026,12.984198824855104,2.728654454831117
515,7.27496466987421,2.223593724679737,3.3558435843379706,12.993785761005768,2.728540289009716
520,7.259470913603846,2.2167849984003345,3.362004148708331,13.01716073298895,2.729655407541825
525,7.24267210003643,2.2096696890451293,3.3697459604303552,13.032141011486209,2.7325283165136924
530,7.231647610162345,2.205713591336658,3.3811640214566303,13.055115138943398,2.74422736227661
535,7.2344846836614805,2.201827729270311,3.389116318753655,13.10104029475725,2.7562848833453595
540,7.24002348430758,2.1982436159231007,3.396134111337484,13.148061972644726,2.7694711411449418
545,7.241595660198693,2.1939350384843954,3.399094164235587,13.18452476087226,2.7803803641275397
